FB001,FB002,FB003,FB004,FB005,FB006,FB007,FB008,FB009,FB010,FB011,FB012,FB013,FB014,FB015,FB016,FB017,FB018,FB019,FB020,FB021,FB022,FB023,FB024,FB025,FB026,FB027,FB028,FB029,FB030,FB031,FB032,FB033,FB034,FB035,FB036,FB037,FB038,FB039,FB040,FB041,FB042,FB043,FB044,FB045,FB046,FB047,FB048,FB049,FB050,FB051,FB052,FB053,FB054,FB055,FB056,FB057,FB058,FB059,FB060,FB061,FB062,FB063,FB064,FB065,FB066,FB067,FB068,FB069,FB070,FB071,FB072,FB073,FB074
7.2874,3.7693,3.6913,1.6468,3.4888,13.1014,9.2764,7.3333,6.0226,,10.684,,,,15.2944,8.9194,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6913,1.6468,3.4888,13.1014,9.2764,7.3333,6.0226,,10.6789,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6913,1.6468,3.4888,13.1014,9.2764,7.3333,6.0226,,10.6789,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6913,1.6468,3.4888,13.1014,9.2764,7.3333,6.0226,,10.6789,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6913,1.6468,3.4888,13.1014,9.2764,7.3333,6.0226,,10.6789,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6913,1.6468,3.4888,13.1014,9.2764,7.3333,6.0226,,10.6789,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6913,1.6468,3.4888,13.1014,9.2764,7.3333,6.0226,,10.6789,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6883,1.6468,3.4888,13.1014,9.2764,7.3333,6.0226,,10.6789,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6883,1.6468,3.4888,13.1014,9.2764,7.3333,6.0226,,10.6789,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6883,1.6468,3.4888,13.1014,9.2764,7.3333,6.0226,,10.6789,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6883,1.6468,3.4888,13.1014,9.2764,7.3333,6.0226,,10.6789,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6883,1.6468,3.4888,13.1014,9.2764,7.3333,6.0226,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6883,1.6468,3.4888,13.1014,9.2764,7.3333,6.0226,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6883,1.6468,3.4888,13.1014,9.2764,7.3384,6.0226,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6883,1.6468,3.4888,13.1014,9.2764,7.3384,6.0226,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6883,1.6468,3.4888,13.1014,9.2764,7.3384,6.0226,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6883,1.6468,3.4888,13.1014,9.2764,7.3384,6.0226,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6883,1.6468,3.4888,13.1014,9.2764,7.3384,6.0175,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6883,1.6468,3.4888,13.1014,9.2764,7.3384,6.0175,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6883,1.6468,3.4888,13.1014,9.2764,7.3384,6.0175,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7693,3.6883,1.6468,3.4888,13.1014,9.2764,7.3384,6.0175,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4888,13.1014,9.2764,7.3384,6.0175,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4888,13.1014,9.2764,7.3384,6.0175,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4888,13.0912,9.2764,7.3384,6.0175,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4888,13.0912,9.2764,7.3384,6.0175,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4888,13.0912,9.2764,7.3384,6.0175,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3384,6.0175,,10.6789,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3384,6.0175,,10.684,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3384,6.0175,,10.684,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3384,6.0175,,10.684,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3384,6.0175,,10.684,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3384,6.0175,,10.684,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3384,6.0175,,10.684,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3384,6.0175,,10.684,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3384,6.0175,,10.684,,,,15.3046,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3384,6.0175,,10.684,,,,15.2944,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3384,6.0175,,10.684,,,,15.2944,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0175,,10.684,,,,15.2944,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7678,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2874,3.7663,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6883,1.6468,3.4858,13.0912,9.2764,7.3435,6.0124,,10.684,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0124,,10.6789,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0124,,10.6789,,,,15.2944,8.9245,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0124,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0124,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0124,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0124,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0124,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0124,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0124,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0124,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7663,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7678,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7678,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7678,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7678,3.6868,1.6468,3.4843,13.0912,9.2764,7.3435,6.0073,,10.6789,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7678,3.6868,1.6468,3.4828,13.0912,9.2764,7.3435,6.0073,,10.684,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7678,3.6868,1.6468,3.4828,13.0912,9.2764,7.3435,6.0073,,10.684,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7678,3.6868,1.6468,3.4828,13.0912,9.2764,7.3435,6.0073,,10.684,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2823,3.7678,3.6868,1.6468,3.4828,13.0912,9.2764,7.3435,6.0073,,10.684,,,,15.2944,8.9143,12.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
